QuarterID,GameID,Number,Name,AwayScore,HomeScore
160304,18822,1,1,25,31
160305,18822,2,2,29,38
160306,18822,3,3,34,25
160307,18822,4,4,28,25
160308,18823,1,1,31,33
160309,18823,2,2,23,28
160310,18823,3,3,41,37
160311,18823,4,4,28,42
160312,18824,1,1,33,32
160313,18824,2,2,24,26
160314,18824,3,3,29,25
160315,18824,4,4,27,29
160316,18825,1,1,35,22
160317,18825,2,2,31,33
160318,18825,3,3,26,31
160319,18825,4,4,38,32
160320,18826,1,1,38,32
160321,18826,2,2,38,33
160322,18826,3,3,22,28
160323,18826,4,4,21,39
160324,18827,1,1,25,24
160325,18827,2,2,25,23
160326,18827,3,3,31,31
160327,18827,4,4,22,35
160328,18829,1,1,35,33
160329,18829,2,2,34,31
160330,18829,3,3,24,29
160331,18829,4,4,34,25
160332,18828,1,1,29,25
160333,18828,2,2,27,34
160334,18828,3,3,25,28
160335,18828,4,4,29,23
160336,18830,1,1,26,38
160337,18830,2,2,24,32
160338,18830,3,3,30,21
160339,18830,4,4,33,30
160340,18831,1,1,27,27
160341,18831,2,2,25,31
160342,18831,3,3,35,37
160343,18831,4,4,39,30
160344,18828,5,OT,13,11
160345,18832,1,1,36,29
160346,18832,2,2,29,39
160347,18832,3,3,23,39
160348,18832,4,4,18,29
160349,18833,1,1,35,37
160350,18833,2,2,26,36
160351,18833,3,3,37,29
160352,18833,4,4,34,38
160353,18834,1,1,34,44
160354,18834,2,2,40,23
160355,18834,3,3,23,38
160356,18834,4,4,25,25
160357,18835,1,1,15,27
160358,18835,2,2,36,24
160359,18835,3,3,17,25
160360,18835,4,4,30,30
160361,18836,1,1,31,34
160362,18836,2,2,36,39
160363,18836,3,3,22,28
160364,18836,4,4,24,21
160365,18837,1,1,34,27
160366,18837,2,2,29,25
160367,18837,3,3,27,37
160368,18837,4,4,30,21
160369,18839,1,1,35,22
160370,18839,2,2,21,26
160371,18839,3,3,32,30
160372,18839,4,4,28,27
160373,18838,1,1,40,37
160374,18838,2,2,25,25
160375,18838,3,3,33,35
160376,18838,4,4,32,25
160377,18843,1,1,30,31
160378,18843,2,2,31,37
